Video ID,Título,Data de Publicação,Duração,Playlists
0tfzWFxvX64,#21 | Sutra do Diamante – Conclusão  | 03/05/2020,2020-05-04T00:28:23Z,PT23M8S,
0wuFwXMnCLU,#229 Prática Prajnaparamita e Buda da Medicina | 27/11/2020,2020-11-28T00:08:49Z,PT1H55S,
0xP6nQUtIB8,"2023 11 23 Estudo de Aprofundamento | “Conselhos para uma Sociedade Equilibrada e Próspera"" #09",2023-11-22T12:36:11Z,PT1H41M15S,
0yXISl1mhkU,"Retiro de Inverno 2015 #2 | Sabedoria Primordial, Silêncio e Shamatha nos 5 lungs (2º dia, manhã)",2015-07-18T14:37:29Z,PT1H49M2S,
0ytpNlixJbo,Treinamento da Mente - Caminho para a Felicidade (4/7),2013-07-01T11:16:32Z,PT1H28M14S,
0zs4bhvFwpw,O Budismo e o reencantamento da vida! Retiro com Lama Padma Samten. 2º Dia - Manhã.,2017-03-18T15:23:00Z,PT2H19M27S,
0zwynjvZl1g,#19 | 4 Nobres Verdades na Perspectiva da Iluminação Sabedoria Primordial | Segunda Tarde | 11/01/21,2021-01-06T21:36:41Z,PT2H1M27S,
11eJqlj1Vik,#1744 Puja Diário | 21/01/25,2025-01-22T12:11:24Z,PT1H38M1S,
11oVpyZFQdY,#24 | Retiro de Inverno 2020 | Perguntas e Respostas | 01/08/2020,2020-08-02T00:52:17Z,PT1H20M41S,
13HIuP9XO3M,04/09/2018 - Ensinamentos com o Lama Padma Samten,2018-09-05T00:54:33Z,PT1H21M23S,
14a4F5WvuDs,2024 07 24 - Retiro de Inverno 2024 no CEBB Alto Paraíso #08,2024-07-21T11:56:10Z,PT2H17M26S,
